DenialCode,DenialDescription,DenialCategory,FinalSteps,CodeType
1,Deductible Amount,Patient Responsibility,Bill patient for deductible amount,CARC
2,Coinsurance Amount,Patient Responsibility,Bill patient for coinsurance,CARC
3,Co-payment Amount,Patient Responsibility,Bill patient for copay,CARC
4,The procedure code is inconsistent with the modifier used,Procedure/Modifier Incorrect,Review and resubmit with correct modifier,CARC
5,The procedure code/bill type is inconsistent with the place of service,Missing or Invalid Information,Verify POS and resubmit,CARC
6,The procedure/revenue code is inconsistent with the patient's age,Missing or Invalid Information,Verify patient age and correct code,CARC
7,The procedure/revenue code is inconsistent with the patient's gender,Missing or Invalid Information,Verify patient gender and correct code,CARC
8,The procedure code is inconsistent with the provider type/specialty,Missing or Invalid Information,Verify provider specialty and resubmit,CARC
9,The diagnosis is inconsistent with the patient's age,Missing or Invalid Information,Review diagnosis code and patient age,CARC
10,The diagnosis is inconsistent with the patient's gender,Missing or Invalid Information,Review diagnosis code and patient gender,CARC
11,The diagnosis is inconsistent with the procedure,Missing or Invalid Information,Ensure diagnosis supports procedure,CARC
12,The diagnosis is inconsistent with the provider type,Missing or Invalid Information,Verify provider type and diagnosis,CARC
13,The date of death precedes the date of service,Missing or Invalid Information,Verify dates and resubmit,CARC
14,The date of birth follows the date of service,Missing or Invalid Information,Verify DOB and resubmit,CARC
15,The authorization number is missing invalid or does not apply to the billed services,No Authorization,Obtain valid authorization and resubmit,CARC
16,Claim/service lacks information or has submission/billing error(s),Missing or Invalid Information,Review claim and provide missing information,CARC
18,Exact duplicate claim/service,Duplicate Claims,Verify not a duplicate; if duplicate no action needed,CARC
19,This is a work-related injury/illness and thus the liability of the Workers' Compensation Carrier,Claim Submitted to incorrect payor,Submit to Workers' Compensation,CARC
20,This injury/illness is covered by the liability carrier,Claim Submitted to incorrect payor,Submit to liability carrier,CARC
21,This injury/illness is the liability of the no-fault carrier,Claim Submitted to incorrect payor,Submit to no-fault carrier,CARC
22,This care may be covered by another payer per coordination of benefits,Claim Submitted to incorrect payor,Submit to primary payer first,CARC
23,The impact of prior payer(s) adjudication including payments and/or adjustments,Awaiting Eligibility Information,Wait for primary payer EOB and resubmit,CARC
24,Charges are covered under a capitation agreement/managed care plan,Non Covered Charges,No further action - covered under capitation,CARC
25,Payment denied - Your Stop Loss deductible has not been met,Maximum Benefit Met,Monitor for stop loss threshold,CARC
26,Expenses incurred prior to coverage,Not Eligible,Patient responsibility - notify patient,CARC
27,Expenses incurred after coverage terminated,Policy Terminated,Patient responsibility - notify patient,CARC
29,The time limit for filing has expired,Timely Filing,Appeal with proof of timely filing if applicable,CARC
31,Patient cannot be identified as our insured,Not Eligible,Verify patient eligibility and resubmit,CARC
32,Our records indicate that this dependent is not an eligible dependent,Not Eligible,Verify dependent eligibility,CARC
33,Insured has no dependent coverage,Not Eligible,Patient responsibility - notify patient,CARC
34,Insured has no coverage for newborns,Not Eligible,Patient responsibility - notify patient,CARC
35,Lifetime benefit maximum has been reached,Maximum Benefit Met,Patient responsibility - notify patient,CARC
36,Balance does not exceed co-payment amount,Patient Responsibility,Bill patient,CARC
37,Balance does not exceed deductible,Patient Responsibility,Bill patient,CARC
38,Services not provided or authorized by designated provider,No Authorization,Obtain authorization and resubmit,CARC
39,Services denied at the time authorization/pre-certification was requested,No Authorization,Appeal with medical necessity documentation,CARC
40,Charges do not meet qualifications for emergent/urgent care,Medical Necessity,Appeal with documentation of emergency,CARC
41,Discount agreed to in Preferred Provider contract,Contractual Adjustment,No further action - contractual write-off,CARC
42,Charges exceed our fee schedule or maximum allowable amount,Contractual Adjustment,No further action - contractual write-off,CARC
44,Prompt-pay discount,Contractual Adjustment,No further action,CARC
45,Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement,Contractual Adjustment,No further action - contractual write-off,CARC
49,This is a non-covered service because it is a routine exam or screening procedure,Non Covered Charges,Patient responsibility - notify patient,CARC
50,These are non-covered services because this is not deemed a 'medical necessity',Medical Necessity,Appeal with medical necessity documentation,CARC
51,These are non-covered services because this is a pre-existing condition,Non Covered Charges,Patient responsibility - notify patient,CARC
53,Services by an immediate relative or a member of the same household are not covered,Non Covered Charges,Patient responsibility - notify patient,CARC
54,Multiple physicians/assistants are not covered in this case,Non Covered Charges,Coordinate with other provider,CARC
55,Procedure/treatment is deemed experimental/investigational by the payer,Non Covered Charges,Appeal with evidence-based research or notify patient,CARC
56,Procedure/treatment has not been deemed 'proven to be effective' by the payer,Medical Necessity,Appeal with medical necessity documentation,CARC
58,Treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service,Missing or Invalid Information,Verify POS and appeal if appropriate,CARC
59,Processed based on multiple or concurrent procedure rules,Contractual Adjustment,No further action - per contract,CARC
60,Charges for outpatient services with an inpatient admission,Missing or Invalid Information,Review and correct billing,CARC
61,Penalty for failure to obtain second surgical opinion,Non Covered Charges,Patient responsibility,CARC
66,Blood Deductible,Patient Responsibility,Bill patient,CARC
69,Day outlier amount,Reimbursement Adjustment,Post as payment adjustment,CARC
70,Cost outlier amount,Reimbursement Adjustment,Post as payment adjustment,CARC
74,Indirect Medical Education adjustment,Reimbursement Adjustment,Post as payment adjustment,CARC
75,Direct Medical Education adjustment,Reimbursement Adjustment,Post as payment adjustment,CARC
76,Disproportionate Share adjustment,Reimbursement Adjustment,Post as payment adjustment,CARC
78,Non-covered charges/services,Non Covered Charges,Patient responsibility - notify patient,CARC
89,Not covered unless emergency or urgent care,Medical Necessity,Appeal if emergency or patient responsibility,CARC
90,Service not covered unless performed/billed by an appropriate provider/supplier,Missing or Invalid Information,Verify rendering provider credentials,CARC
91,Facility/equipment not appropriate for procedure/service,Missing or Invalid Information,Verify facility type,CARC
94,Processed in excess of charges,Reimbursement Adjustment,Post as payment adjustment,CARC
95,Plan procedures not followed,No Authorization,Review plan requirements and appeal,CARC
96,Non-covered charges,Non Covered Charges,Patient responsibility - notify patient,CARC
97,The benefit for this service is included in the payment/allowance for another service/procedure,Bundled Services,No further action - bundled,CARC
100,Payment made to patient/insured/responsible party,Paid Claims,Recover from patient if applicable,CARC
101,Predetermination: anticipated payment upon completion of services or claim adjudication,Awaiting Eligibility Information,Submit completed claim,CARC
102,Processed information for network adequacy,Informational,No action required,CARC
103,Medicare Advantage enrollee - services not covered by plan,Non Covered Charges,Bill Medicare or patient,CARC
104,Processed under Medicaid ACA enhanced fee schedule,Reimbursement Adjustment,Post as payment adjustment,CARC
105,Tax withholding,Reimbursement Adjustment,Post as payment adjustment,CARC
106,Prior payment being cancelled as patient is not liable,Payment Reversal,Refund payment if received,CARC
107,Policy benefits exhausted,Maximum Benefit Met,Patient responsibility - notify patient,CARC
108,Rent/purchase guidelines not met,DME Certification needed,Provide rental/purchase documentation,CARC
109,Claim not covered by this payer/contractor,Claim Submitted to incorrect payor,Submit to correct payer,CARC
110,Billing date predates service date,Missing or Invalid Information,Correct billing date and resubmit,CARC
111,Not covered unless the provider accepts assignment,Non Covered Charges,Accept assignment or patient responsibility,CARC
112,Service not furnished directly to the patient and/or not documented,Medical Necessity,Provide documentation of service,CARC
114,Procedure/product not approved by regulatory agency,Non Covered Charges,Patient responsibility,CARC
115,Procedure postponed cancelled or delayed,Missing or Invalid Information,Resubmit when service performed,CARC
116,Medicare Advantage payment,Paid Claims,Post payment,CARC
117,Transportation is only covered to the closest facility,Non Covered Charges,Patient responsibility for excess,CARC
118,Claim processed under ESRD composite rate,Reimbursement Adjustment,Post as payment adjustment,CARC
119,Benefit maximum for this time period/occurrence has been reached,Maximum Benefit Met,Patient responsibility - notify patient,CARC
121,Indemnity insurance payment,Paid Claims,Post payment,CARC
122,Psychiatric reduction,Contractual Adjustment,No further action,CARC
125,Submission/billing error - claim submitted with multiple lines should have single line,Missing or Invalid Information,Correct and resubmit on single line,CARC
128,Newborn's services are covered in the mother's allowance,Non Covered Charges,Bill under mother's account,CARC
129,Prior processing information appears incorrect,Missing or Invalid Information,Verify prior payer information and resubmit,CARC
130,Claim could not be identified in the database,No claim on file,Verify claim was received and resubmit,CARC
131,Claim specific negotiated discount,Contractual Adjustment,No further action,CARC
132,Adjusted by the payer based on prior adjudicated claims,Reimbursement Adjustment,Post as payment adjustment,CARC
133,Claim overlaps inpatient stay,Missing or Invalid Information,Review dates and resubmit,CARC
134,Technical component not payable in this circumstance,Non Covered Charges,Bill appropriate component only,CARC
135,Interim bills cannot be processed,Missing or Invalid Information,Submit final bill,CARC
136,Failure to follow prior payer's coverage rules,Claim Submitted to incorrect payor,Follow primary payer rules and resubmit,CARC
137,Regulatory surcharges/assessments/allowances,Reimbursement Adjustment,Post as payment adjustment,CARC
138,Appeal procedures not followed,Missing or Invalid Information,Follow appeal procedures,CARC
139,Contracted funding agreement - Subscriber is employed by the provider,Non Covered Charges,Per contract terms,CARC
140,Patient/Insured health identification number and name do not match,Not Eligible,Verify patient information and resubmit,CARC
141,Claim spans eligible and ineligible period of coverage,Not Eligible,Split claim by eligible dates,CARC
142,SBR supplemental coverage is not on file,Awaiting Eligibility Information,Provide supplemental insurance information,CARC
143,Portion of payment deferred,Awaiting Eligibility Information,Wait for final payment determination,CARC
144,Incentive adjustment,Reimbursement Adjustment,Post as payment adjustment,CARC
145,Provider credentialing/recredentialing - rate pending,Awaiting Eligibility Information,Complete credentialing process,CARC
146,Diagnosis/condition not covered,Non Covered Charges,Patient responsibility - notify patient,CARC
147,Provider contracted/negotiated rate expired/not on file,Require Pricing Information,Negotiate contract or provide rate information,CARC
148,Information from another provider was not provided or not provided timely,Additional information requested,Obtain and submit required information,CARC
149,Lifetime benefit maximum has been reached for this service/procedure,Maximum Benefit Met,Patient responsibility - notify patient,CARC
150,Payer deems the information submitted does not support this level/type of service,Medical Necessity,Appeal with supporting documentation,CARC
151,Payment adjusted because the payer deems the information submitted does not support this many services,Medical Necessity,Appeal with supporting documentation,CARC
152,Payer deems the information submitted does not support this length of service,Medical Necessity,Appeal with supporting documentation,CARC
153,Payer deems the information submitted does not support this dosage,Medical Necessity,Appeal with supporting documentation,CARC
154,Payer deems the information submitted does not support this day's supply,Medical Necessity,Appeal with supporting documentation,CARC
155,Patient refused the service/procedure,Non Covered Charges,Patient responsibility - document refusal,CARC
