Code Type,DenialCode,DenialReason,DenialCategory,FinalSteps
CARC,1,Deductible Amount,Patient Responsibility,Bill patient for deductible amount
CARC,2,Coinsurance Amount,Patient Responsibility,Bill patient for coinsurance
CARC,3,Co-payment Amount,Patient Responsibility,Bill patient for copay
CARC,4,The procedure code is inconsistent with the modifier used,Procedure/Modifier Incorrect,"Review the remark code to identify whether the denial is related to the procedure code or the modifier.
Check the account history to determine whether the same procedure code or modifier was previously billed and paid.
If yes, contact the insurance payer and request reprocessing.
If no, proceed to Step 3.
Assess whether the issue involves the procedure code or modifier and determine if a correction is possible.
If yes, apply the appropriate modifier and submit a corrected claim.
If the correct procedure or modifier details cannot be determined, escalate to the RBCO/Centre teams for a coding review."
CARC,5,The procedure code/bill type is inconsistent with the place of service,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,6,The procedure/revenue code is inconsistent with the patient's age,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,7,The procedure/revenue code is inconsistent with the patient's gender,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,8,The procedure code is inconsistent with the provider type/specialty,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,9,The diagnosis is inconsistent with the patient's age,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,10,The diagnosis is inconsistent with the patient's gender,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
